account_id,customer_name,account_type,credit_limit,branch,ingestion_timestamp,source_system
ACC0001,Customer_1,Savings,100000.0,Mumbai,2026-08-08T12:43:11.286Z,accounts.csv
ACC0002,Customer_2,Salary,200000.0,Delhi,2026-08-08T12:43:11.286Z,accounts.csv
ACC0003,Customer_3,Savings,100000.0,Mumbai,2026-08-08T12:43:11.286Z,accounts.csv
ACC0004,Customer_4,Salary,50000.0,Pune,2026-08-08T12:43:11.286Z,accounts.csv
ACC0005,Customer_5,Current,50000.0,Mumbai,2026-08-08T12:43:11.286Z,accounts.csv
ACC0006,Customer_6,Savings,100000.0,Delhi,2026-08-08T12:43:11.286Z,accounts.csv
ACC0007,Customer_7,Salary,50000.0,Pune,2026-08-08T12:43:11.286Z,accounts.csv
ACC0008,Customer_8,Savings,500000.0,Delhi,2026-08-08T12:43:11.286Z,accounts.csv
ACC0009,Customer_9,Current,200000.0,Mumbai,2026-08-08T12:43:11.286Z,accounts.csv
ACC0010,Customer_10,Savings,500000.0,Bangalore,2026-08-08T12:43:11.286Z,accounts.csv
ACC0011,Customer_11,Current,100000.0,Delhi,2026-08-08T12:43:11.286Z,accounts.csv
ACC0012,Customer_12,Current,50000.0,Mumbai,2026-08-08T12:43:11.286Z,accounts.csv
ACC0013,Customer_13,Current,50000.0,Bangalore,2026-08-08T12:43:11.286Z,accounts.csv
ACC0014,Customer_14,Current,200000.0,Mumbai,2026-08-08T12:43:11.286Z,accounts.csv
ACC0015,Customer_15,Salary,500000.0,Pune,2026-08-08T12:43:11.286Z,accounts.csv
ACC0016,Customer_16,Savings,500000.0,Mumbai,2026-08-08T12:43:11.286Z,accounts.csv
ACC0017,Customer_17,Salary,200000.0,Pune,2026-08-08T12:43:11.286Z,accounts.csv
ACC0018,Customer_18,Current,100000.0,Mumbai,2026-08-08T12:43:11.286Z,accounts.csv
ACC0019,Customer_19,Savings,100000.0,Bangalore,2026-08-08T12:43:11.286Z,accounts.csv
ACC0020,Customer_20,Savings,100000.0,Mumbai,2026-08-08T12:43:11.286Z,accounts.csv
